ID	latinname	Author	TrueLatinName	Notes	PullOut
5782	Kennedya monophylla	Vent.	Hardenbergia violacea		0
5783	Kentrophyllum lanatum	(L.)DC.	Carthamnus lanatus		0
5784	Kerria japonica	(L.)DC.			0
5785	Keteleeria davidiana	(Bertrand.)Beissner.			0
5786	Kickxia elatine	(L.)Dumort.			0
5787	Kinugasa japonica	(Franch.&Sav.)Tatew.&Suto.			0
5788	Kirkophytum lyallii	(J.B.Armst.)Allan.			0
5789	Knautia arvensis	(L.)Coult.			0
5790	Knightia excelsa	R.Br.			0
5791	Kniphofia aloides	Moench.	Kniphofia uvaria		0
5792	Kniphofia uvaria	(L.)Hook.			0
5793	Kochia atriplicifolia	Spreng.	Cycloloma atriplicifolium		0
5794	Kochia scoparia	(L.)Schrad.	Bassia scoparia		0
5795	Kochia trichophila	Stapf.	Bassia scoparia		0
5796	Koeleria cristata	(L.)Pers.	Koeleria macrantha		0
5797	Koeleria gracilis	Pers.	Koeleria macrantha		0
5798	Koeleria macrantha	(Ledeb.)Schult.			0
5799	Koeleria pyramidata	(Lam)Beauv.	Koeleria macrantha	A distinct species in 200	0
5800	Koellia albescens	(Torr.&Gray)Kuntze.	Pycnanthemum albescens		0
5801	Koellia flexuosa	auct. non (Walter.) MacM.	Pycnanthemum flexuosum		0
5802	Koellia incana	(L.) Kuntze.	Pycnanthemum incanum		0
5803	Koellia mutica	(Michx.) Kuntze.	Pycnanthemum muticum		0
5804	Koellia pilosa	(Nutt.) Britton.	Pycnanthemum pilosum		0
5805	Koellia virginiana	(L.) MacM.	Pycnanthemum virginianum		0
5806	Koelreuteria apiculata	Rehder.&E.H.Wilson.	Koelreuteria paniculata		0
5807	Koelreuteria paniculata	Laxm.			0
5808	Kolomikta mandschurica	Regel.	Actinidia kolomikta		0
5809	Korolkowia sewerzowii	(Regel.)Regel.	Fritillaria sewerzowii		0
5810	Kosteletzkya pentacarpos	(L.)Ledeb.			0
5811	Kuhnia eupatorioides	L.			0
5812	Kummerowia stipulacea	(Maxim.)Makino.			0
5813	Kummerowia striata	(Thunb.)Schindl.			0
5814	Kunzea ericifolia	F.Muell.	Kunzea muelleri		0
5815	Kunzea ericoides	(A. Rich.) Joy Thomps.	Leptospermum ericoides		0
5816	Kunzea muelleri	Benth.			0
5817	Kunzea pomifera	F.Muell.			0
5818	Lablab niger	Medik.	Lablab purpureus		0
5819	Lablab purpureus	(L.)Sweet.			0
5820	Lablab vulgaris	Savi.	Lablab purpureus		0
5821	Laburnum alpinum	(Mill.)Bercht.&J.Presl.			0
5822	Laburnum anagyroides	Medik.			0
5823	Laburnum vulgare	C.Presl.	Laburnum anagyroides		0
5824	Lachnanthes carolina	(Lam.)Dandy.			0
5825	Lachnanthes tinctoria	(J.F. Gmel.) Ell.	Lachnanthes carolina		0
5826	Laciniaria punctata	(Hook.)Kuntze.	Liatris punctata		0
5827	Laciniaria scariosa	(L.)Hill.	Liatris scariosa		0
5828	Laciniaria squarrosa	(L.)Hill.	Liatris squarrosa		0
5829	Lactuca alpina	(L.)A.Gray.	Cicerbita alpina		0
5830	Lactuca amurensis	0	Lactuca indica		0
5831	Lactuca biennis	(Moench.)Fernald.			0
5832	Lactuca canadensis	L.			0
5833	Lactuca capensis	Thunb.			0
5834	Lactuca debilis	(Thunb.)Benth.	Ixeris japonica		0
5835	Lactuca debilis	Maxim.			0
5836	Lactuca denticulata	(Houtt.)Maxim.	Youngia denticulata		0
5837	Lactuca dracoglossa	Makino.	Lactuca indica dracoglossa		0
5838	Lactuca formosana	Maxim.			0
5839	Lactuca indica	L.			0
5840	Lactuca indica dracoglossa	(Makino.)Kitam.			0
5841	Lactuca indica laciniata	(Kuntze.)Hard.			0
5842	Lactuca laciniata	0	Lactuca indica laciniata		0
5843	Lactuca ludoviciana	(Nutt.)Riddell.			0
5844	Lactuca muralis	(L.)Gaertn.	Mycelis muralis		0
5845	Lactuca perennis	L.			0
5846	Lactuca polycephala	(Cass.)C.B.Clarke.	Ixeris polycephala		0
5847	Lactuca pulchella	(Pursh.)DC.			0
5848	Lactuca quercina	L.			0
5849	Lactuca raddeana	Maxim.			0
5850	Lactuca saligna	L.	Lactuca indica		0
5851	Lactuca sativa	L.			0
5852	Lactuca sativa angustana	L.H.Bailey.			0
5853	Lactuca sativa asparagina	0	Lactuca sativa angustana		0
5854	Lactuca sativa capitata	L.			0
5855	Lactuca sativa crispa	L.			0
5856	Lactuca sativa longifolia	Lam.			0
5857	Lactuca scariola	L.	Lactuca serriola		0
5858	Lactuca serriola	L.			0
5859	Lactuca sibirica	(L.)Maxim.			0
5860	Lactuca spicata	auct. non (Lam.) A.S. Hitchc.	Lactuca biennis		0
5861	Lactuca squarrosa	Miq.	Lactuca indica laciniata		0
5862	Lactuca tatarica pulchella	(Pursh.)Breitung.	Lactuca pulchella		0
5863	Lactuca thunbergii	(A.Gray.)Maxim.	Ixeris dentata		0
5864	Lactuca triangulata	Maxim.			0
5865	Lactuca virosa	L.			0
5866	Lagarostrobus colensoi	(Hook.f)Quinn.			0
5867	Lagarostrobus franklinii	(Hook.f.)Quinn.			0
5868	Lagenaria siceraria	(Molina.)Standl.			0
5869	Lagenaria vulgaris	Ser.	Lagenaria siceraria		0
5870	Lagerstroemia indica	L.			0
5871	Lagochilus inebrians	Bunge.			0
5872	Lagoecia cuminoides	L.			0
5873	Lallemantia iberica	(Bieb.)Fisch.&C.A.Mey.			0
5874	Lallemantia sulphurea	0	Lallemantia iberica		0
5875	Lamiastrum galeobdolon	(L.)Ehrend.&Polats.	Lamium galeobdolon		0
5876	Lamium album	L.			0
5877	Lamium amplexicaule	L.			0
5878	Lamium galeobdolon	(L.)L.			0
5879	Lamium purpureum	L.			0
5880	Lancea tibetica	Hook.f.&Thomson.			0
5881	Lapageria rosea	Ruiz.&Pav.			0
5882	Laportea bulbifera	(Siebold.&Zucc.)Weddel.			0
5883	Laportea canadensis	(L.)Wedd.			0
5884	Laportea macrostachya	(Maxim.)Ohwi.			0
5885	Lappa major	Gaertn.	Arctium lappa		0
5886	Lapsana apogonoides	Maxim.			0
5887	Lapsana communis	L.			0
5888	Lapsana humilis	(Thunb.)Makino.			0
5889	Lardizabala biternata	Ruiz.&Pav.			0
5890	Laretia acaulis	Gill.&Hook.			0
5891	Larix americana	Michx.	Larix laricina		0
5892	Larix dahurica	Turcz. ex Trautv.	Larix gmelinii		0
5893	Larix decidua	Mill.			0
5894	Larix europaea	DC.	Larix decidua		0
5895	Larix gmelinii	(Rupr.)Rupr.			0
5896	Larix kaempferi	(Lamb.)Carrière.			0
5897	Larix laricina	(Du Roi.)K.Koch.			0
5898	Larix lyallii	Parl.			0
5899	Larix occidentalis	Nutt.			0
5900	Larix potaninii	Batalin.			0
5901	Larix russica	(Endl.)Sabine. ex Trautv.	Larix sibirica		0
5902	Larix sibirica	Ledeb.			0
5903	Larix x eurolepis	Henry.	Larix x marschlinsii		0
5904	Larix x marschlinsii	Coaz.			0
5905	Larrea divaricata	Cav.	Larrea tridentata	A distinct species in 200	0
5906	Larrea mexicana	Moric.	Larrea tridentata		0
5907	Larrea tridentata	(Sessé.&Moc. ex DC.)Coville.			0
5908	Laser trilobum	(L.)Borke.			0
5909	Laserpitium latifolium	L.			0
5910	Laserpitium prutenicum	L.			0
5911	Laserpitium selenioides	0	Laserpitium prutenicum		0
5912	Laserpitium siler	L.			0
5913	Lasiococcus dumosus	(Andr.) Small.	Gaylussacia dumosa		0
5914	Lassonia quinquepeta	Buc'hoz.	Magnolia liliiflora		0
5915	Lasthenia glabrata	Lindl.			0
5916	Lastrea dilatata	(Hoffm.)C.Presl.	Dryopteris dilatata		0
5917	Lastrea thelypteris	(L.)Bory.	Thelypteris palustris		0
5918	Lathyrus alatus	(A.Br.)Komar.			0
5919	Lathyrus aphaca	L.			0
5920	Lathyrus cicera	L.			0
5921	Lathyrus clymenus	L.	Lathyrus alatus		0
5922	Lathyrus davidii	Hance.			0
5923	Lathyrus decaphyllus	Pursh.	Lathyrus polymorphus		0
5924	Lathyrus eucosmus	Butters.&St.John.	Lathyrus ornatus		0
5925	Lathyrus japonicus	Willd.			0
5926	Lathyrus japonicus maritimus	(L.)P.W.Ball.			0
5927	Lathyrus latifolius	L.			0
5928	Lathyrus linifolius montanus	(Bernh.)Bässler.			0
5929	Lathyrus macrorrhizus	Wimm.	Lathyrus linifolius montanus		0
5930	Lathyrus magellanicus	Lam.	Lathyrus nervosus		0
5931	Lathyrus maritimus	(L.)Bigel.	Lathyrus japonicus maritimus		0
5932	Lathyrus montanus	Bernh.	Lathyrus linifolius montanus		0
5933	Lathyrus nervosus	Lam.			0
5934	Lathyrus ochroleucas	Hook.			0
5935	Lathyrus ochrus	(L.)DC.			0
5936	Lathyrus odoratus	L.			0
5937	Lathyrus ornatus	Nutt. ex Torr.&A.Gray.			0
5938	Lathyrus palustris	L.			0
5939	Lathyrus polymorphus	Nutt.			0
5940	Lathyrus pratensis	L.			0
5941	Lathyrus quinquenervius	(Miq.)Litvin.			0
5942	Lathyrus sativus	L.			0
5943	Lathyrus tuberosus	L.			0
5944	Laurelia aromatica	non Poir.	Laurelia sempervirens		0
5945	Laurelia novae-zealandiae	A.Cunn.			0
5946	Laurelia sempervirens	(Ruiz.&Pav.)Tul.			0
5947	Laurelia serrata	Bertero. non Phil.	Laurelia sempervirens		0
5948	Laurocerasus caroliniana	(Aiton.)M.Roem.	Prunus caroliniana		0
5949	Laurocerasus cortapico	0	Prunus cortapico		0
5950	Laurocerasus ilicifolia	(Hook.&arn.)Roem.	Prunus ilicifolia		0
5951	Laurocerasus lusitanica	(L.)M.Roem.	Prunus lusitanica		0
5952	Laurocerasus officinalis	M.Roem.	Prunus laurocerasus		0
5953	Laurus albida	Nutt.	Sassafras albidum		0
5954	Laurus benzoin	L.	Lindera benzoin		0
5955	Laurus camphora	L.	Cinnamomum camphora		0
5956	Laurus nobilis	L.			0
5957	Laurus regalis	Hort.	Umbellularia californica		0
5958	Laurus regia	Douglas.	Umbellularia californica		0
5959	Laurus sericea	Blume.	Neolitsea sericea		0
5960	Laurus umbellata	Thunb.	Rhaphiolepis umbellata		0
5961	Laurus villosa	Roxb.	Persea villosa		0
5962	Lavandula angustifolia	Mill.			0
5963	Lavandula dentata	L.			0
5964	Lavandula latifolia	Medik.			0
5965	Lavandula officinalis	Chaix.	Lavandula angustifolia		0
5966	Lavandula spica	DC. and many other authors.	Lavandula latifolia		0
5967	Lavandula spica	L.	Lavandula angustifolia		0
5968	Lavandula spica latifolia	L.f.	Lavandula latifolia		0
5969	Lavandula stoechas	L.			0
5970	Lavandula vera	DC.	Lavandula angustifolia		0
5971	Lavandula x intermedia	Emeric. ex Loisel.			0
5972	Lavatera arborea	L.			0
5973	Lavatera cachemiriana	Cambess.			0
5974	Lavatera olbia	Hort.	Lavatera thuringiaca		0
5975	Lavatera plebeia	Sims.			0
5976	Lavatera plebeja	Sims.	Lavatera plebeia		0
5977	Lavatera species	0			0
5978	Lavatera thuringiaca	L.			0
5979	Lavatera trimestris	L.			0
5980	Layia douglasii	Hook.&Arn.	Layia glandulosa		0
5981	Layia glandulosa	(Hook.)Hook.&Arn.			0
5982	Layia platyglossa	(Fisch.&C.A.Mey.)A.Gray.			0
5983	Ledebouriella seseloides	(Hoffm.)Wolff.			0
5984	Ledum columbianum	Piper.			0
5985	Ledum glandulosum	Nutt.			0
5986	Ledum glandulosum columbianum	(Piper.)Hitchk.	Ledum columbianum		0
5987	Ledum groenlandicum	Oeder.			0
5988	Ledum latifolium	Jacq.	Ledum groenlandicum		0
5989	Ledum pacificum	Small.	Ledum groenlandicum		0
5990	Ledum palustre	L.			0
5991	Ledum palustre groenlandicum	(Oeder.)Hulten.	Ledum groenlandicum		0
5992	Legousia pentagonia	(L.)Druce.			0
5993	Legousia speculum-veneris	(L.)Chaix.			0
5994	Leibnitzia anandria	(L.)Turcz.			0
5995	Leichhardtia leptophylla	0			0
5996	Leitneria floridana	Chapm.			0
5997	Leleba multiplex	(Lour.)Nakai.	Bambusa multiplex		0
5998	Lemna minor	L.			0
5999	Lemna polyrrhiza	L.	Spirodela polyrrhiza		0
6000	Lemna trisulca	L.			0
6001	Lens culinaris	Medik.			0
6002	Lens ervoides	(Brign.)Grande.			0
6003	Lens esculenta	Moench.	Lens culinaris		0
6004	Lens lenticula	(Schrad.)Alef.	Lens ervoides		0
6005	Leontice chrysogonum	L.	Bongardia chrysogonum		0
6006	Leontice leontopetalum	L.			0
6007	Leontodon carolinianus	0	Pyrrhopappus carolinianus		0
6008	Leontodon hispidus	L.			0
6009	Leontopodium alpinum	Cass.			0
6010	Leontopodium coreanum	Nakai.	Leontopodium discolor		0
6011	Leontopodium discolor	Beauverd.			0
6012	Leonurus artemisia	(Lour.)S.Y.Hu.	Leonurus japonicus		0
6013	Leonurus cardiaca	L.			0
6014	Leonurus heterophyllus	Sweet.	Leonurus japonicus		0
6015	Leonurus japonicus	Houtt.			0
6016	Leonurus macranthus	Maxim.			0
6017	Leonurus manshuricus	Yabe.	Leonurus sibiricus		0
6018	Leonurus sibiricus	L.			0
6019	Leopoldia comosa	(L.) Parl.	Muscari comosum		0
6020	Lepachys columnaris	(Sims.)Torr.&A.Gray.	Ratibida columnifera		0
6021	Lepidium apetalum	Willd.			0
6022	Lepidium campestre	(L.)R.Br.			0
6023	Lepidium chilense	Kuntze.			0
6024	Lepidium densiflorum	Schrad.			0
6025	Lepidium didymum	L.	Coronopus didymus		0
6026	Lepidium diffusum	DC.			0
6027	Lepidium draba	L.	Cardaria draba		0
6028	Lepidium fremontii	S.Watson.			0
6029	Lepidium graminifolium	L.			0
6030	Lepidium hyssopifolium	Desv.			0
6031	Lepidium iberis	L.			0
6032	Lepidium incisum	Roth.			0
6033	Lepidium intermedium	A.Gray.			0
6034	Lepidium latifolium	L.			0
6035	Lepidium meyenii	Walp.			0
6036	Lepidium micranthum	Lebour.	Lepidium apetalum		0
6037	Lepidium nitidum	Nutt.			0
6038	Lepidium oleraceum	Forst.			0
6039	Lepidium perfoliatum	L.			0
6040	Lepidium rotundum	DC.			0
6041	Lepidium ruderale	L.			0
6042	Lepidium sativum	L.			0
6043	Lepidium virginicum	L.			0
6044	Lepidium virginicum medium	(Greene)C.L.Hitchc.	Lepidium intermedium		0
6045	Lepidogrammitis drymoglossoides	(Bar.)Ching.			0
6046	Lepidosperma gladiatum	Labill.			0
6047	Lepidothamnus intermedius	(T.Kirk.)Quinn.			0
6048	Lepisorus thunbergianus	(Kaulf.)Ching.	Polypodium lineare	A distinct species in 200	0
6049	Leptandra virginica	(L.) Nutt.	Veronicastrum virginicum		0
6050	Leptocarpus similis	Edgar.			0
6051	Leptomeria acida	R.Br.			0
6052	Leptomeria aphylla	R.Br.			0
6053	Leptomeria drupacea	(Labill.)Druce.			0
6054	Leptospermum ericoides	Rich.			0
6055	Leptospermum flavescens	Sm.	Leptospermum polygalifolium		0
6056	Leptospermum laevigatum	(Gaertn.)F.Muell.			0
6057	Leptospermum lanigerum	(Sol. ex Aiton.)Sm.			0
6058	Leptospermum liversidgei	R.T.Baker.&H.G.Sm.			0
6059	Leptospermum petersonii	F.M.Bailey.			0
6060	Leptospermum polygalifolium	Salisb.			0
6061	Leptospermum pubescens	Lam.	Leptospermum lanigerum		0
6062	Leptospermum scoparium	J.R.Forst.&G.Forst.			0
6063	Leptosyne calliopsidea	DC.	Coreopsis calliopsidea		0
6064	Leptosyne gigantea	Kellogg.	Coreopsis gigantea		0
6065	Leptotaenia dissecta	Nutt.	Lomatium dissectum		0
6066	Leptotaenia multifida	Nutt.	Lomatium dissectum		0
6067	Lespedeza bicolor	Turcz.			0
6068	Lespedeza buergeri	Miq.			0
6069	Lespedeza capitata	Michx.			0
6070	Lespedeza cuneata	(Dum.Cours.)G.Don.			0
6071	Lespedeza cyrtobotrya	Miq.			0
6072	Lespedeza floribunda	Bunge.			0
6073	Lespedeza formosa	(Vogel.)Koehne.			0
6074	Lespedeza hedysaroides	(Pall.) Kitag.	Lespedeza juncea		0
6075	Lespedeza juncea	(L.f.)Pers.			0
6076	Lespedeza maximowiczii	C.K.Schneid.			0
6077	Lespedeza pilosa	(Thunb.)Siebold.&Zucc.			0
6078	Lespedeza praecox	Nakai.	Lespedeza maximowiczii		0
6079	Lespedeza sericea	(Thunb.)Miq.	Lespedeza cuneata		0
6080	Lespedeza sieboldii	Miq.	Lespedeza formosa		0
6081	Lespedeza stipulacea	Maxim.	Kummerowia stipulacea		0
6082	Lespedeza striata	(Thunb.)Hook.&Arn.	Kummerowia striata		0
6083	Lespedeza thunbergii	(A.DC.)Nakai.	Lespedeza formosa		0
6084	Lespedeza tomentosa	(Thunb.)Siebold.			0
6085	Lesquerella fendleri	(A.Gray.)S.Wats.			0
6086	Lesquerella intermedia	(S.Watson.)Heller.			0
6087	Leucanthemum maximum	(Ramond.)DC.			0
6088	Leucanthemum vulgare	Lam.			0
6089	Leucas cephalotes	(Roth.)Spreng.			0
6090	Leucas lanata	Benth.			0
6091	Leucocrinum montanum	Nutt.			0
6092	Leucojum aestivum	L.			0
6093	Leucojum vernum	L.			0
6094	Leucopogon colensoi	Hook.f.	Cyathodes colensoi		0
6095	Leucopogon fraseri	A.Cunn.	Cyathodes fraseri		0
6096	Leucopogon lanceolatus	(Sm.)R.Br.			0
6097	Leucopogon leptospermoides	R.Br.			0
6098	Leucopogon montanus	(R.Br.)J.H.Willis.			0
6099	Leucopogon parviflorus	Andrews.	Cyathodes parviflora		0
6100	Leucopogon suaveolens	0			0
6101	Leucothoe axillaris	(Lam.)D.Don.			0
6102	Leucothoe catesbaei	(Walter.)A.Gray.	Leucothoe axillaris	A distinct species in 200	0
6103	Leucothoe chlorantha	Gray. non DC.	Leucothoe grayana		0
6104	Leucothoe grayana	Maxim.			0
6105	Leuzea rhapontica	(L.)J.Holub.			0
6106	Levisticum officinale	W.D.J.Koch.			0
6107	Lewisia brachycalyx	Engelm. ex A.Gray.			0
6108	Lewisia columbiana	(Howell.)B.L.Rob.			0
6109	Lewisia pygmaea	(A.Gray.)B.L.Rob.			0
6110	Lewisia rediviva	Pursh.			0
6111	Leycesteria formosa	Wall.			0
6112	Leymus arenarius	(L.)Hochst.			0
6113	Leymus condensatus	(J.Presl.)A.Löve.			0
6114	Leymus racemosus	(Lam.)Tzvelev.			0
6115	Leymus secalinus	(Georgi.)Tzvelev.	Elymus glauca	The correct name in 200	0
6116	Leymus triticoides	(Buckley)Pilg.			0
6117	Liatris chapmanii	Torr.&A.Gray.			0
6118	Liatris punctata	Hook.			0
6119	Liatris scariosa	(L.)Willd.			0
6120	Liatris spicata	(L.)Willd.			0
6121	Liatris squarrosa	(L.)Michx.			0
6122	Liatris squarrulosa	Michx.	Liatris scariosa		0
6123	Libocedrus bidwillii	Hook.f.			0
6124	Libocedrus decurrens	Torr.	Calocedrus decurrens		0
6125	Libocedrus doniana	(Hook.)Endl.	Libocedrus plumosa		0
6126	Libocedrus plumosa	(D.Don.)Sarg.			0
6127	Libocedrus uvifera	(D.Don.)Pilger.			0
6128	Ligularia amplexicaulis	DC.			0
6129	Ligularia hiberniflorum	Makino.			0
6130	Ligularia hodgsonii	Hook.f.			0
6131	Ligularia intermedia	Nakai.			0
6132	Ligularia japonica	(Thunb.)DC.			0
6133	Ligularia kaempferi	(DC.)Siebold.&Zucc.	Farfugium japonicum		0
6134	Ligularia sibirica	(L.)Cass.			0
6135	Ligularia tussilaginea	(Burm.)Makino.	Farfugium japonicum		0
6136	Ligusticum ajanense	(Regel.)K-Pol.	Tilingia ajanensis		0
6137	Ligusticum brachylobum	Franch.			0
6138	Ligusticum bulbocastanum	0	Bunium bulbocastanum		0
6139	Ligusticum canadense	(L.)Britton.			0
6140	Ligusticum chuanxiong	S.H.Qiu. et al	Ligusticum sinense		0
6141	Ligusticum filicinum	S.Watson.			0
6142	Ligusticum gingidium	0	Angelica montana		0
6143	Ligusticum holopetalum	(Maxim.)Hiroe.&Const.	Tilingia holopetala		0
6144	Ligusticum hultenii	Fernald.			0
6145	Ligusticum ibukicola	Makino.	Angelica acutiloba		0
6146	Ligusticum jeholense	Nakai.&Kitag.			0
6147	Ligusticum monnieri	(L.)Calest.			0
6148	Ligusticum mutellina	(L.)Crantz.			0
6149	Ligusticum porteri	J.M.Coult.&Rose.			0
6150	Ligusticum scoticum	L.			0
6151	Ligusticum scoticum hultenii	(Fernald.)Calder.&Taylor.	Ligusticum hultenii		0
6152	Ligusticum sinense	Oliv.			0
6153	Ligusticum wallichii	Franch.			0
6154	Ligustrum acutilobum	Siebold.&Zucc.	Angelica acutiloba		0
6155	Ligustrum delavayanum	Hariot.			0
6156	Ligustrum ibota	Siebold.	Ligustrum obtusifolium		0
6157	Ligustrum indicum	(Lour.)Merr.			0
6158	Ligustrum ionandrum	Diels.	Ligustrum delavayanum		0
6159	Ligustrum japonicum	Thunb.			0
6160	Ligustrum lucidum	W.T.Aiton.			0
6161	Ligustrum nepalense	Wall.	Ligustrum indicum		0
6162	Ligustrum obtusifolium	Siebold.&Zucc.			0
6163	Ligustrum ovalifolium	Hassk.			0
6164	Ligustrum prattii	Koehne.	Ligustrum delavayanum		0
6165	Ligustrum sinense	Lour.			0
6166	Ligustrum vulgare	L.			0
6167	Lilaea scilloides	(Poir.)Hauman.	Lilaea subulata		0
6168	Lilaea subulata	Kunth.			0
6169	Lilium species	0			0
6170	Lilium abeanum	0	Lilium japonicum		0
6171	Lilium amabile	Palibin.			0
6172	Lilium auratum	Lindl.			0
6173	Lilium avenaceum	Fisch.	Lilium medeoloides		0
6174	Lilium belladonna	0	Lilium japonicum		0
6175	Lilium brownii	F.E.Br. ex Meillez.			0
6176	Lilium bulbiferum	L.			0
6177	Lilium callosum	Siebold.&Zucc.			0
6178	Lilium camschatcensis	L.	Fritillaria camschatcensis		0
6179	Lilium canadense	L.			0
6180	Lilium canadense editorum	Fernald.			0
6181	Lilium canadense flavum	Pursh.			0
6182	Lilium candidum	L.			0
6183	Lilium candidum	non L.	Lilium brownii		0
6184	Lilium cernuum	Kom.			0
6185	Lilium columbianum	Hans.			0
6186	Lilium concolor	Salisb.			0
6187	Lilium cordatum	(Thunb.)Koidz.	Cardiocrinum cordatum		0
6188	Lilium cordifolium	Thunb.	Cardiocrinum cordatum		0
6189	Lilium croceum	Chaix.	Lilium bulbiferum		0
6190	Lilium dauricum	Ker-Gawl.			0
6191	Lilium davidii	Duch.			0
6192	Lilium dexteri	0	Lilium auratum		0
6193	Lilium distichum	Nakai.			0
6194	Lilium douglasii alba	0	Limnanthes alba		0
6195	Lilium elegans	Thunb.	Lilium maculatum		0
6196	Lilium formosanum	Wallace.			0
6197	Lilium formosanum pricei	Stocker.			0
6198	Lilium giganteum	Wall. non hort.	Cardiocrinum giganteum		0
6199	Lilium hansonii	Leichtlin. ex D.D.T.Moore.			0
6200	Lilium henryi	Baker.			0
6201	Lilium japonicum	Thunb.			0
6202	Lilium japonicum platyfolium	Anon.			0
6203	Lilium japonicum rubellum	0	Lilium rubellum		0
6204	Lilium kelleyanum	Lemmon.			0
6205	Lilium krameri	Hook.f.	Lilium japonicum		0
6206	Lilium lancifolium	non Thunb.	Lilium speciosum		0
6207	Lilium lancifolium	Thunb.			0
6208	Lilium leichtlinii	Hook.f.			0
6209	Lilium leichtlinii maximowiczii	(Regel.)Baker.			0
6210	Lilium longiflorum	Thunb.			0
6211	Lilium longiflorum formosanum	Baker.	Lilium formosanum		0
6212	Lilium maculatum	Thunb.			0
6213	Lilium makinoi	Koidz.	Lilium japonicum		0
6214	Lilium martagon	L.			0
6215	Lilium maximowiczii	Regel.	Lilium leichtlinii maximowiczii		0
6216	Lilium medeoloides	A.Gray.			0
6217	Lilium medeoloides	Elwes. non A.Gray.	Lilium tsingtauense		0
6218	Lilium monanthum	Maxim.			0
6219	Lilium nanum	Klotzsch.			0
6220	Lilium nepalense	D.Don.			0
6221	Lilium nevadense	East.	Lilium kelleyanum		0
6222	Lilium nitidum	Bull.	Lilium columbianum		0
6223	Lilium nobilissimum	(Makino.)Makino.			0
6224	Lilium odorum	0	Lilium brownii		0
6225	Lilium pardalinum	Kellogg.			0
6226	Lilium parviflorum	Purdy. non Holz.	Lilium kelleyanum		0
6227	Lilium parviflorum	W.G.Smith.	Lilium columbianum		0
6228	Lilium pennsylvanicum	Ker-Gawl.	Lilium dauricum		0
6229	Lilium philadelphicum	L.			0
6230	Lilium philippinense formosanum	(Wallace.)E.H.Wilson.	Lilium formosanum		0
6231	Lilium pomponium	L.			0
6232	Lilium pudicum	Pursh.	Fritillaria pudica		0
6233	Lilium pulchellum	Fisch.	Lilium concolor		0
6234	Lilium pumilum	DC.			0
6235	Lilium rubellum	Baker.			0
6236	Lilium sargentiae	E.H.Wilson.			0
6237	Lilium speciosum	Thunb.			0
6238	Lilium spectabilis	Link.	Lilium dauricum		0
6239	Lilium superbum	L.			0
6240	Lilium tenuifolium	Schrank.	Lilium pumilum		0
6241	Lilium tigrinum	Ker-Gawl.	Lilium lancifolium		0
6242	Lilium tsingtauense	Gilg.			0
6243	Lilium wallichianum	Schult.&Schult.			0
6244	Limnanthemum nymphoides	(L.)Hoffsgg.&Link.	Nymphoides peltata		0
6245	Limnanthemum peltatum	S.G.Gmel.	Nymphoides peltata		0
6246	Limnanthes alba	Hartw. ex Benth.			0
6247	Limnanthes douglasii	R.Br.			0
6248	Limnanthes sulphurea	0	Limnanthes douglasii		0
6249	Limonia laureola	DC.	Skimmia laureola		0
6250	Limonia trifolia	Burm. f.	Triphasia trifolia		0
6251	Limonium carolinianum	(Walter.)Britton.			0
6252	Limonium ornatum	(Ball.)Kuntze.			0
6253	Limonium tetragonum	(Thunb.)A.A.Bull.			0
6254	Limonium thouinii	(Viv.)Kuntze.			0
6255	Limonium vulgare	Mill.			0
6256	Linaria canadensis	(L.)Dum.Cours.			0
6257	Linaria cymbalaria	(L.)Mill.	Cymbalaria muralis		0
6258	Linaria elatine	(L.)Mill.	Kickxia elatine		0
6259	Linaria vulgaris	Mill.			0
6260	Lindera assamica	Kurz.			0
6261	Lindera benzoin	(L.)Blume.			0
6262	Lindera glauca	(Siebold.&Zucc.)Blume.			0
6263	Lindera hypoglauca	Maxim.	Lindera umbellata		0
6264	Lindera megaphylla	Hemsl.			0
6265	Lindera membranacea	Maxim.	Lindera umbellata		0
6266	Lindera obtusiloba	Blume.			0
6267	Lindera praecox	(Siebold.&Zucc.)Blume.			0
6268	Lindera pulcherrima	(Nees.)Hook.f.			0
6269	Lindera strychnifolia	(Siebold.&Zucc.)F.Vilm.			0
6270	Lindera umbellata	Thunb.			0
6271	Linnaea borealis	L.			0
6272	Linum angustifolium	Huds.	Linum bienne		0
6273	Linum bienne	Mill.			0
6274	Linum catharticum	L.			0
6275	Linum crepitans	(Boenn.)Dum.			0
6276	Linum humile	Mill.			0
6277	Linum lewisii	Pursh.	Linum perenne		0
6278	Linum marginale	Cunn.			0
6279	Linum monogynum	G.Forst.			0
6280	Linum perenne	L.			0
6281	Linum strictum	L.			0
6282	Linum usitatissimum	L.			0
6283	Liparis japonica	(Miq.)Maxim.			0
6284	Lippia citrodora	(Ortega.)Kunth.	Aloysia triphylla		0
6285	Lippia nodiflora	(L.)Michx.	Phyla nodiflora		0
6286	Lippia triphylla	(L'Hér.) Kuntze.	Aloysia triphylla		0
6287	Liquidambar acerifolia	Maxim.	Liquidambar formosana		0
6288	Liquidambar formosana	Hance.			0
6289	Liquidambar imberbe	Aiton.	Liquidambar orientalis		0
6290	Liquidambar orientalis	Mill.			0
6291	Liquidambar peregrina	L.	Comptonia peregrina		0
6292	Liquidambar styraciflua	L.			0
6293	Liriodendron tulipifera	L.			0
6294	Liriope graminifolia	(L.)Baker.			0
