ID	latin_name	pest
1036	Vigna radiata	Damping off fungus, Pythium spp. Plant in warm. Thin plant for air circulation and avoid touching when wet. Flowers but no pods -zinc deficient-.
1037	Vinca major	Seldom Severely Damaged by deer
1038	Vinca minor	Seldom Severely Damaged by deer
1039	Viola adunca	Seldom Severely Damaged by deer
1040	Viola biflora	Seldom Severely Damaged by deer
1041	Viola canadensis	Seldom Severely Damaged by deer
1042	Viola canina	Seldom Severely Damaged by deer
1043	Viola cornuta	Seldom Severely Damaged by deer
1044	Viola cucullata	Seldom Severely Damaged by deer
1045	Viola epipsela	Seldom Severely Damaged by deer
1046	Viola japonica	Seldom Severely Damaged by deer
1047	Viola labradorica	Seldom Severely Damaged by deer
1048	Viola langsdorffii	Seldom Severely Damaged by deer
1049	Viola mandschurica	Seldom Severely Damaged by deer
1050	Viola mirabilis	Seldom Severely Damaged by deer
1051	Viola odorata	Seldom Severely Damaged by deer
1052	Viola palmata	Seldom Severely Damaged by deer
1053	Viola patrinii	Seldom Severely Damaged by deer
1054	Viola pinnata	Seldom Severely Damaged by deer
1055	Viola riviniana	Seldom Severely Damaged by deer
1056	Viola sororia	Seldom Severely Damaged by deer
1057	Viola sp.	Occasionally Severely Damaged by deer
1058	Viola sp.	Seldom Severely Damaged by deer
1059	Viola verecunda	Seldom Severely Damaged by deer
1060	Viola yezoensis	Seldom Severely Damaged by deer
1061	Wasabia japonica	Use a 5 year rotation to avoid Club Root and Root Maggots
1062	Weigela florida	Seldom Severely Damaged by deer
1063	Wisteria floribunda	Seldom Severely Damaged by deer
1064	Yucca aloifolia	Rarely Damaged by deer
1065	Yucca baccata	Rarely Damaged by deer
1066	Yucca constricta	Rarely Damaged by deer
1067	Yucca filifera	Rarely Damaged by deer
1068	Yucca filimentosa	Rarely Damaged by deer
1069	Yucca gloriosa	Rarely Damaged by deer
1070	Yucca recurvifolia	Rarely Damaged by deer
1071	Yucca schidigera	Rarely Damaged by deer
1072	Yucca whipplei	Rarely Damaged by deer
1073	Zannichellia palustris	Seldom Severely Damaged by deer
1074	Zantedeschia sp.	Use a 5 year rotation to avoid Club Root and Root Maggots. Avoid gall weevil by: cover beds in May when moon or sun are in Taurus. 
1075	Mahonia nervosa	Rarely Damaged by deer
1076	Mahonia x media	Rarely Damaged by deer
1077	Achnatherum lemmonii	Deer resistant
1078	Cornus stolonifera	Seldom Severely Damaged by deer
1079	Danthonia californica	Deer-resistant
1080	Leymus mollis	Deer-resistant
1081	Melica subulata	Deer-resistant
